id,orderId,suborderFilter,commonName,alternateCommonName,scientificName,lifeStageName,lifeStagePrettyName,description,expandedCharacterList,hasAudio,hasImage
197,20,,Small Minnow Mayflies,Blue-winged Olives,Baetidae,larva,Larva,"This family includes roughly 152 North American species. The <u>larvae</u> of this family are usually found in <u>lotic-erosional</u> or <u>lotic-depositional</u> habitats. They tend to be <u>clingers</u> and strong <u>swimmers</u> due to their streamlined, minnow-like body shape. They feed by <u>collecting and gathering</u> food, or by <u>scraping</u> algae and <u>periphyton</u> from rocks and detritus. Adults tend to swarm nearby in open areas after emergence. <u>Duns</u> and <u>spinners</u> of this group are frequently used as models for tied flies in the fly-fishing community. <u>Larvae</u> in this group can be tricky to identify and can be easily mistaken for other families such as the Siphlonuridae and Isonychiidae; however, but with careful attention to detail and patience, they can be separated.","<strong><u>Labrum</u> usually with <u>median</u> notch and antennae usually long (at least two or three times the width of the head). </strong>If <u>median</u> notch absent, then antennae long; if antennae shorter, then <u>distal</u> margin of the <u>labrum</u> always notched. Claws of all legs similarly shaped, usually pointed, rarely broad at the <u>apex</u>; claws of varying lengths, if claws of middle and <u>hind legs</u> long and slender, they are usually shorter than <u>tibiae</u>, except for few rare genera. Abdominal gills roughly oval or heart-shaped. Gill <u>lamellae</u> either single, double, or triple folded; rarely with fringe on inner margins, never with terminal filaments or pointed ends. Mature <u>larvae</u> 3-12 mm long.",1,0
202,20,,Armored Mayflies,,Baetiscidae,larva,Larva,"Armored mayflies have a hard, shield-like plate (<u>notum</u>) covering the thorax and part of the abdomen which offers protection from predators. Typically, the <u>notum</u> covers the <u>gills</u> as far back as the sixth abdominal segment and has two prominent points. <u>Caudal filaments</u> are short and fringed with hairs. Members of this burrowing family are considered <u>collector-gatherers</u> and inhabit pools or runs in sandy streams. Baetiscids swim by tucking their legs under their body and undulating their abdomen and tails.","Short, broad mayfly; the top of the pronotum forms a shield over the rest of the thorax and the basal segments of the abdomen; this shield often has a prominent pair of lateral spines.",1,1
204,20,,Small Square-gilled Mayflies,Angler's Curses,Caenidae,larva,Larva,"This family includes over 30 North American species in 4 genera. They prefer slow-moving or stagnant water where there is an abundance of silt and loose sediment and are often found sprawled on/in the silt or climbing among the plants. They tend to be slow-moving and often partially cover themselves in sediment, making them difficult to spot. They feed by <u>filtering</u> or <u>collecting and gathering</u> tiny bits of food or by <u>scraping</u> algae and <u>biofilm</u> from rocks and other substrates in their habitat. Several genera in this group can be useful to fly-fishermen, but due to the short life-span, it can be difficult to time your fishing trip just right or you will miss the ""hatch"" (<u>eclosion</u> or emergence as adults).  ","<u>Mesonotum</u> without anterolateral lobes of Neoephemeridae. Hind <u>wing pads</u> absent. <strong>Paired gills on abdominal segment 2 nearly square, and meeting or almost meeting <u>medially</u> (but NOT fused), at least partially covering succeeding pairs (semi-<u>operculate</u>)</strong>. Plate-like gills on abdominal segments 3–6 with fringed borders. Mature <u>larvae</u> 2–8 mm long, not including tails.",1,0
206,20,,Spiny Crawler Mayflies,"Hendricksons, Sulphurs, Pale Morning Duns (PMDs), Blue-winged Olives (BWOs)",Ephemerellidae,larva,Larva,"This common and widespread group includes roughly 80 North American species in 9 genera. <u>Larvae</u> can be readily identified, as this is the only mayfly group with gills absent on abdominal segment 2. They tend to be found in <u>lotic-erosional</u> or <u>depositional</u> habitats, often among the rooted aquatic plants, moss, root masses, or woody debris. They usually are poor <u>swimmers</u>, swimming with a floppy motion, and instead <u>sprawl</u> or <u>cling</u> to the plants or other substrates in their habitat. The family has a variety of feeding strategies, differing among species, including <u>collector-gatherers</u>, <u>scrapers</u>, some <u>shredders</u> of <u>detritus</u> or <u>algae</u>, and even one predator. When a <u>larva</u> is disturbed it sometimes raises its tail over its head like a scorpion, possibly as an adaptation to fend off predators; however, they cannot sting. After emergence, adults sometimes swarm atypically high, even above tree tops. This group is one of the most important for the fly-fishing community, with at least 30 different species being used as models for tied flies.","Gills on abdominal segment 1 rudimentary or absent.<strong> Abdominal segment 2 without gills</strong>. Gills on abdominal segments 3 (if present) and 4–7 have two layers: a top layer that is oval and plate-like and a bottom layer that is multi-lobed; in preserved specimens these gills lying in paired <u>dorsal</u> depressions and camouflaged, not readily seen by novices. Abdominal <u>terga</u> often with paired <u>tubercles</u>. Mature <u>larvae</u> 5–15 mm long, not including tails.",1,1
212,20,,Common Burrowing Mayflies,"Hexes, Big Drakes",Ephemeridae,larva,Larva,"<u>Larvae</u> of the mayfly family Ephemeridae have large, distinct mandibular tusks projecting forward from the head, used to help <u>burrow</u> in soft silty sand or marl along the edges of still-water habitats or along the quiet parts of streams. They react negatively to light and immediately <u>burrow</u> back into the sediment if removed. <u>Larvae</u> also have feathery gills along the abdomen, giving them a rather “fluffy” appearance from the <u>dorsal</u> side. They are able to undulate these gills in order to increase flow of water for oxygen intake, which is especially important in the burrows where there is little water flow. The adults of this group are popular for fly-fishing enthusiasts because they are relatively large, and the <u>duns</u> (flying subadults) emerge in large numbers. The <u>larvae</u> are also sometimes used as bait.","<strong>Large tusks</strong> project forward anteriorly from the face and are visible <u>dorsally</u>, when viewed <u>laterally</u> they curve upward. <strong>Fore<u>tibiae</u> are fossorial </strong>(modified for burrowing: expanded or with <u>tubercles</u>). <strong><u>Ventral</u> <u>apex</u> of each hind <u>tibia</u> acutely pointed</strong>. <strong>Abdominal gills on segments 2–7 are conspicuous <u>dorsally</u>, forked and elongate-lancolate, with fringed margins</strong>, giving the animal a fluffy appearance.",1,0
215,20,,Flat-headed or Cookie-headed Mayflies,"March Browns, Cahills, Quill Gordons",Heptageniidae,larva,Larva,"There are over 100 North American species in 11 genera in the mayfly family Heptageniidae. They are found in <u>lotic</u> or <u>lentic</u> erosional habitats, often among rocks. They are sometimes <u>collector-gatherers</u> of fine organic particles; however, they typically feed by <u>scraping</u> algae and <u>periphyton</u> from rocks and other substrates at the bottom of the stream. They have a flattened head and body, which allows them to <u>cling</u> to the tops of the rocks, even in fast flowing water, without being swept away, or to squeeze among rocks. This flat body shape makes them great at <u>clinging</u> to surfaces, but fairly poor, floppy <u>swimmers</u>. The emerging <u>duns</u> (sub-adults) are important in the fly-fishing community, with several genera in the family serving as models for tied flies.",<strong>Head and body dorsoventrally flattened (depressed)</strong>. Eyes and antennae positioned <u>dorsally</u>. <strong><u>Lateral</u> margins of head visible beside the eyes</strong>. Mandibles not visible from <u>dorsal</u> side. Claws much shorter than <u>tarsi</u>. <u>Tibiae</u> and <u>tarsi</u> straight. Abdominal gills on segments 2–7 variably shaped depending on genus and species.,1,1
31,20,,Brush-legged Mayflies,Slate Drakes,Isonychiidae,larva,Larva,"<em>Isonychia </em>is the only genus in the family Isonychiidae. There are about 15 known North American species. They have a widespread distribution east of the Rocky Mountains, and tend to be found <u>swimming</u> in fast-flowing water. They have a <u>fusiform</u>, minnow-like body shape, making them strong <u>swimmers</u> and <u>clingers</u>. Long <u>setae</u> (hair) on the inner margins of the <u>femora</u> and <u>tibia</u> of <u>forelegs</u> are used for filter feeding, a trait almost unique to this group of mayflies (also occurring in the rare family Oligoneuriidae). They are important in the trout and fly fishing community as ""Slate Drakes"" due to their frequent but periodic hatches (emergence of <u>subimagos</u> or ""<u>duns</u>"") and return to the water surface as spent adults (<u>imagoes</u> or ""<u>spinners</u>"") in June–October.","<strong><u>Femora</u> and <u>tibiae</u> of <u>forelegs</u> with double rows of long <u>setae</u> along inner margins</strong>. Abdominal segment 1 with dorsolateral gills, similar in appearance other gills, each consisting of longer <u>dorsal</u> <u>lamella</u> and shorter <u>fibrilliform</u> portion. <strong><u>Nymphs</u> with streamlined, minnow-like body shape</strong>. <em>Isonychia </em>is the only genus in the family. Widespread and common.",1,0
222,20,,Little Stout Crawler Mayflies,Tricos,Leptohyphidae,larva,Larva,"<u>Larval</u> members of this family tend to be found in small streams and rivers in areas of slow flow; however, they can be found in <u>lentic</u>-<u>littoral</u> habitats as well. They are often found <u>sprawling</u> on many different substrates, such as sand, silt, or even gravel, as well as <u>clinging</u> to root masses, woody debris, or among various plants. They usually <u>collect and gather</u> small bits of organic particles for food, or some taxa also filter feed. The <u>larvae</u> in this family have gills well-adapted to their environment; the gills on abdominal segment 2 are <u>operculate</u>, covering the rest of the abdominal gills to prevent them from getting damaged by sediment. <u>Larvae</u> also fan their gills in order to increase the flow of water across their surface area, increasing the amount of oxygen they can absorb. Adults and <u>duns</u> (sub-adults) in the genus <em>Trycorythodes </em>(Dark Brown Spinner, Pale Olive Dun, and Reverse Jenny Spinner) are especially important to the fly-fishing community due to their extremely large emergences.","<strong>The gills on abdominal segment 2 are <u>operculate</u> or semioperculate, roughly triangular or oval,</strong> <strong>and not touching or fusing <u>medially</u></strong>. Abdominal segments 3–6 with <u>lamelliform</u> (plate-like) portion of gills simple or with two lobes, never with fringed margins.",1,0
224,20,,Prong-gilled Mayflies,"Blue Quills, Mahogany Duns",Leptophlebiidae,larva,Larva,"There are about 70 North American species in this family. <u>Larvae</u> tend to be found in gravel-bottomed streams, with woody debris, or among roots along banks; however, some can be found in <u>lentic</u> situations. Mature <u>larvae</u> are 4–15 mm long. They tend to be <u>clingers</u> and moderately fast <u>swimmers</u>. Most feed by <u>collecting and gathering</u> food, however, some <u>scrape</u> <u>periphyton</u> from rocks or gather particles of detritus, others filter particles from the water. The gills are often forked, giving them the name “Pronggills”. We like to refer to their gills as <u>deciduous</u>, because they are extremely fragile and fall off the insect readily, like autumn leaves. They have relatively flat bodies, and thus can be easily mistaken for Heptageniidae, however, they can be distinguished because the mandibles protrude at the side of the face making them visible <u>dorsally</u>.","Mandibular tusks absent. Gills on abdominal segment 1 with single or double <u>lamellae</u> (plates) or forked. <strong>Gills on segments 2–7 double-layered lamellate (plate-like) and terminated in filaments or points and without fringe, or oval with fringe.</strong>",1,1
228,20,,Cleft-footed Minnow Mayflies,Pseudo-gray Drakes,Metretopodidae,larva,Larva,"Long, slender mayfly with normal plate-like gills on most abdominal segments; the claws are forked on the front legs.","Long, slender mayfly with normal plate-like gills on most abdominal segments; the claws are forked on the front legs.",1,0
230,20,,Pale Burrower Mayflies,White Flies,Polymitarcyidae,larva,Larva,"Long slender mayfly with its gills long, forked, marginally fringed, and curved over abdomen; pair of sharp tusks projecting beyond head and curved downward; the legs are generally expanded or with tubercles for digging and the hind tibiae are rounded apically.","Long slender mayfly with its gills long, forked, marginally fringed, and curved over abdomen; pair of sharp tusks projecting beyond head and curved downward; the legs are generally expanded or with tubercles for digging and the hind tibiae are rounded apically.",1,0
232,20,,Hackle-gills,Golden Drakes,Potamanthidae,larva,Larva,"Long slender mayfly with its gills long, forked, marginally fringed, and projecting laterad; pair of sharp tusks projecting beyond head; the legs are not unusually thick and flattened for digging.","Long slender mayfly with its gills long, forked, marginally fringed, and projecting laterad; pair of sharp tusks projecting beyond head; the legs are not unusually thick and flattened for digging.",1,0
234,20,,Primitive Minnow Mayflies,Gray Drakes,Siphlonuridae,larva,Larva,The labrum (upper lip) is not notched in the middle; the antennae are shorter than twice the width of the head; the maxillae on the underside of the head lack prominent rows of golden spines; the abdominal gills are rounded and similar to each other in structure; 3 long slender filaments at the end of the body are about equally long.,The labrum (upper lip) is not notched in the middle; the antennae are shorter than twice the width of the head; the maxillae on the underside of the head lack prominent rows of golden spines; the abdominal gills are rounded and similar to each other in structure; 3 long slender filaments at the end of the body are about equally long.,1,0
113,52,,Long-toed Water Beetles,,Dryopidae,adult,Adult,"This family is relatively small, with only 5 North American genera, including 13 species. Unlike most water beetles, the <u>larvae</u> of this family are terrestrial <u>burrowers</u> and only the adults are aquatic, usually found in riffles, although some less-common species can be <u>lentic</u> as well. They are <u>shredding herbivores</u> and <u>scrapers</u>. The long claws of the adults make them good clingers and climbers on woody debris and other substrates. Similar to the Elmidae, these adult beetles use a plastron (thin layer of air held against the spiracles) to obtain oxygen from the water and usually don’t need to surface for air. These adult beetles can have a fairly long life-span, with the life cycle taking up to two years in some cases.","<strong>Head usually partially contracted into thorax</strong>. <strong>Each antenna 11-segmented, usually with enlarged <u>basal</u> segment and expanded 2nd segment covering remaining antennal segments folded beneath it</strong>. <u>Prosternum</u> expanded anteriorly as prominent lobe beneath head. <u>Elytra</u> concealing entire abdomen or exposing only part of one abdominal tergite. All <u>tarsi</u> 5-segmented. <strong>Forelegs with <u>transverse</u> <u>coxae</u> and visible trochantins, unlike Elmidae</strong>. Hind <u>coxae</u> not touching. Abdomen 5- or 6-segmented.",0,0
115,52,,Predacious Diving Beetles,,Dytiscidae,adult,Adult,"This is the largest North American family of aquatic beetles, including over 400 species in about 35 genera. Both adults and <u>larvae</u> can be found in almost any aquatic habitat, even in brackish water; however, they are most often found in <u>lentic</u> freshwater systems. The <u>larvae</u> tend to be climbers on rooted plants and swimmers; adults are swimmers and divers. Both <u>larvae</u> and adults are <u>engulfing predators</u> of small invertebrates and fish, and are sometimes cannibalistic. Some <u>larvae</u> have a channel along the inner margin of each mandible to help them ingest fluids from their prey. Their bite is quite painful. Despite living in the water, adults and <u>larvae</u> of most species must regularly resurface for air.","<u>Ventrally</u>, <u>pronotum</u> with conspicuous curved lines near each <u>lateral</u> margin (notopleural <u>sutures</u>). <u>Metasternum</u> without <u>transverse</u> <u>sutures</u>. <u>Elytra</u> covering entire abdomen or exposing only part of 1 tergite.<strong> Hind <u>coxae</u> each with median portion extending in posterior direction, dividing abdominal segment 1 into <u>lateral</u> <u>sclerites</u>, but not expanding into broad plates. Without large spur on end of each front <u>tibia</u>. Dyticidae without broad wedge-like hind <u>coxal</u> plate. <u>Scutellum</u> usually visible; if hidden, then front and middle <u>tarsi</u> apparently 4-segmented and hind <u>tarsi</u> each with 1 claw. </strong>Hind <u>tarsi</u> and usually <u>tibiae</u> flattened, streamlined, and bearing long, stiff swimming bristles. Body usually 3–25 mm long.",0,0
119,52,,Riffle Beetles,,Elmidae,adult,Adult,"This is a large family, including 24 genera and close to 100 species. They are known as riffle beetles, due to their common occurrence in habitats with fast-flowing water and high oxygen levels. Both <u>larvae</u> and adults are slow-moving <u>clingers</u> that feed by <u>scraping</u> or <u>collecting and gathering</u> <u>periphyton</u> and detritus from surfaces of rocks and other substrates. The <u>larvae</u> get their oxygen directly from gills that can be retracted into the end of the abdomen. Adults have an effective plastron and usually do not need to surface for air. Elmid <u>larvae</u> are unusual in that they have up to 8 instars, whereas most beetle <u>larvae</u> molt only 3 times.","Terminal segment of each antenna no longer than combined length of 2 preceding segments; <strong>antennae thread-like.</strong> <u>Elytra</u> concealing entire abdomen or exposing only part of 1 tergite. <strong>Each leg with 5 tarsal segments, last tarsal segment about as long as other segments combined and with big claws</strong>. Abdomen with 5 visible segments.",0,0
135,52,,Whirligig Beetles,,Gyrinidae,adult,Adult,"Adult members of the family Gyrinidae are unique in that their <u>compound eyes</u> are divided into separate <u>dorsal</u> and <u>ventral</u> portions, giving them a ""four-eyed"" appearance. This allows them to see both above and below the water at the same time. Their nickname, “whirligig beetles” was given to the adult beetles due to their behavior of zipping around in swirling motions along the surface of the water, although they are also good <u>divers</u>. Both the <u>larvae</u> and adults of this family are aquatic, typically found in quiet water of <u>lentic</u> or <u>lotic</u> habitats. The pupae are terrestrial. Both adults and <u>larvae</u> are <u>engulfing predators</u> of small invertebrates, but the adults may also be surface film scavengers. <u>Larvae</u> live and feed on the bottom or climb on rooted plants.","Short antennae with clubbed <u>apices</u>. <strong><u>Compound eyes</u> divided into separate <u>dorsal</u> and <u>ventral</u> portions (""4-eyed"" appearance). </strong>",0,0
140,52,,Crawling Water Beetles,,Haliplidae,adult,Adult,"This family includes over 70 North American species. Both the <u>larvae</u> and adults of this family are aquatic. They can be found in <u>lentic</u>-<u>littoral</u> or <u>lotic-depositional</u> habitats. They are good <u>climbers</u> among the rooted plants found in their habitats. Adults can be strong swimmers as well. Both life stages have similar feeding habits; they tend to be <u>shredding</u> or <u>piercing herbivores</u>, but some are <u>engulfing predators</u>. The <u>larvae</u> sometimes overwinter in moist soil before molting into pupae and then adults. The adults must frequently resurface for air; however, the <u>larvae</u> get all of their oxygen from the water.","<u>Elytra</u> concealing entire abdomen. <strong>Hind <u>coxae</u> (first segment of the last leg) expanded into a broad, flat, plates, <u>ventrally</u> covering the first 2 or 3 abdominal segments and most of hind <u>femora</u></strong>. Adult beetles &gt; 3 mm long. ",0,0
143,52,,Water Scavenger Beetles,,Hydrophilidae,adult,Adult,"Hydrophilidae is the second largest family of North American aquatic beetles, including roughly 200 species. The <u>larvae</u> and adults are aquatic or semiaquatic; the pupae are terrestrial. They prefer <u>lentic</u> waters such as ponds and shallow lakes, or sometimes in pools at edges of streams. Unlike most beetles, the adults of this family tend to swim by alternating strokes with their <u>hind legs</u>, rather than moving them in unison. Also atypical, they have a habit of surfacing for air head-first, breaking the water surface tension with a clubbed antenna, the <u>apical</u> segments of which are covered with dense water-repelling (<u>hydrophobic</u>) hairs. The adults have a well-developed plastron to hold air underwater; in well-oxygenated water, it serves as a gill. <u>Larvae</u> frequently surface to take in air from the end of the abdomen. <u>Larvae</u> are usually predators of other invertebrates, and can even break snail shells with their strong jaws. However, only a small number of adults are predators, most are omnivores or detritivores. ","<strong><u>Maxillary</u> <u>palpi</u> usually longer than antennae. Antennae about as long as head, with 2nd segment attached at <u>apex</u> of 1st (<u>basal</u>-most) segment; usually with 5 segments before <u>cupule</u> (cup-shaped, hairless, segment 6); segments 7–9 clubbed</strong>. <u>Pronotum</u> usually not narrower than <u>elytra</u>; if narrower, then <u>scutellum</u> long and triangular. <u>Elytra</u> concealing entire abdomen or exposing only part of 1 segment. Hind <u>coxae</u> not extending in the posterior direction to divide abdominal sternite 1. <u>Metacoxae</u> nearly touching. <u>Ventrally</u>, longitudinal <u>keel</u> narrow between <u>coxae</u>. <u>Tarsal formula</u>: 5-5-5 or 5-4-4. <u>Ventrally</u>, abdomen with 5 visible segments.",0,0
156,53,,"Watersnipe Flies, Aquatic Flies",,Athericidae,larva,Larva,"The head is visible but reduced and partly retracted in the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; the abdomen has two pairs of long pointed tubercles laterally and dorsolaterally, eight pairs of ventral prolegs with tiny apical hooks, and a pair of long hairy tubercles posteriorly.","The head is visible but reduced and partly retracted in the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; the abdomen has two pairs of long pointed tubercles laterally and dorsolaterally, eight pairs of ventral prolegs with tiny apical hooks, and a pair of long hairy tubercles posteriorly.",0,0
158,53,,Net-winged Midges,,Blephariceridae,larva,Larva,"The head is not distinctly separated from the thorax; the body is divided into six major divisions with the 1st division comprising the fused head, thorax, and 1st abdominal segment; each of the six body divisions has a median suction disc ventrally.","head not distinctly separated from the thorax; the body is divided into six major divisions with the 1st division comprising the fused head, thorax, and 1st abdominal segment; each of the six body divisions has a median suction disc ventrally.",0,0
160,53,,"Biting Midges, No-See-Ums, Punkies, Sand Flies",,Ceratopogonidae,larva,Larva,"This fly family includes approximately 34 North American genera, encompassing over 100 species; though not all are aquatic, most genera have at least a few aquatic species. Aquatic/semiaquatic larvae can be found <u>burrowing</u> in damp sand along beaches, <u>swimming</u> and <u>sprawling</u> among plants in both flowing and still water habitats, sometimes even in water-filled tree holes or pitcher plants. Feeding habits vary greatly depending on the species and maturity of the <u>larvae</u>, they are often predators of aquatic insect eggs, others are <u>collector-gatherers</u> or grazers on <u>periphyton</u> and detritus. Aquatic pupae do not make cocoons; they stay near the water surface and use snorkel-like structures that protrude from the thorax to breathe air. Many adult females bite and feed on blood; they need the protein to produce eggs. The bites of most species cause an annoying itch; some terrestrial species are considered pests and can transmit human filarial worms and diseases of other birds and mammals.","Mandibles move against each other along a horizontal or oblique plane. <strong>Head complete and fully exposed.</strong> <u>Spiracles</u> absent (apneustic). <u>Thoracic</u> segments individually distinguishable. Thorax and abdomen similar in diameter or abdomen wider. <strong>If <u>pro</u>thorax without <u>prolegs</u>, body usually smooth, shiny, and cream-colored, usually without any surface features except few <u>setae</u>, especially posteriorly</strong>, and sometimes single retractile <u>anal proleg</u> bearing few hooks. <strong>If <u>pro</u>thorax with pair of <u>ventral</u> <u>prolegs</u>, then <u>pro</u>thoracic and <u>anal prolegs</u> usually paired (even if divison slight and only at <u>apex</u>) and distinct <u>dorsal</u> fleshy projections and/or <u>setae</u> along body</strong>. Mature <u>larvae</u> approximately 2–15 mm long. ",0,0
162,53,,"Non-Biting Midges, Midges",,Chironomidae,larva,Larva,"This group is estimated to include up to 2,000 North American species. It is the most widespread and often most abundant aquatic insect family. The <u>larvae</u> and pupae can be found in almost any aquatic habitat. They live on the bottom, sometimes within slender tubes of silk and detritus. The <u>larvae</u> must be slide-mounted in order to be identified to genus. Different species vary greatly in pollution tolerance. Shed pupal skins can be collected from surface water and identified, sometimes more easily than for <u>larvae</u> or adults. <u>Larval</u> feeding strategies vary greatly, ranging from <u>collector-gatherers</u>, to predators. <u>Larvae</u> are often abundant and an important link of the food web, as most aquatic predatory species use them as a primary food resource at some point during their life cycle. The <u>larvae</u> pupate on the bottom, and then the pupae swim to the surface to emerge as adults, which usually survive for only a few days to mate and lay eggs.","Mandibles move against each other along horizontal or oblique plane. <strong>Head complete and fully exposed</strong>. <strong>Hook-bearing <u>pro</u>thoracic and <u>anal prolegs</u> paired</strong>, though division may be slight and only at <u>apex</u>. <u>Spiracles</u> absent (apneustic). Body segments usually without conspicuous <u>dorsal</u> <u>tubercles</u> and <u>setae</u> as in some Ceratopogonidae.",0,0
168,53,,Mosquitoes,,Culicidae,larva,Larva,"In larval mosquitoes, the head is distinct and fully exposed; there are prominent mouth brushes on each side of the head; the thoracic segments are fused, indistinguishable from each other, and wider than the head or abdomen.","head is distinct and fully exposed; there are prominent mouth brushes on each side of the head; the thoracic segments are fused, indistinguishable from each other, and wider than the head or abdomen.",0,0
170,53,,Meniscus Midges,,Dixidae,larva,Larva,"The head is distinct and fully exposed; the 1st and 2nd abdominal segments each have a pair of fleshy prolegs with tiny apical hooks; the end of the abdomen has two flattened lobes with hairy margins above a small, dorsally sclerotized anal segment with fleshy papillae.","The head is distinct and fully exposed; the 1st and 2nd abdominal segments each have a pair of fleshy prolegs with tiny apical hooks; the end of the abdomen has two flattened lobes with hairy margins above a small, dorsally sclerotized anal segment with fleshy papillae.",0,0
172,53,,Dance Flies,,Empididae,larva,Larva,"The tip of the head is visible but is mostly reduced to a pair of slender rods retracted into the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; there are usually four hairy lobes and no spiracles at the end of the abdomen and each of the abdominal segments has a pair of fleshy ventral prolegs with tiny apical hooks; if spiracles are present and only a single lobe is at the end of the body, then the abdominal segments lack prolegs but instead have transverse ventral creeping welts.","The tip of the head is visible but is mostly reduced to a pair of slender rods retracted into the thorax; the mouth hooks (mandibles) move up and down parallel to one another; the body is cylindrical; there are usually four hairy lobes and no spiracles at the end of the abdomen and each of the abdominal segments has a pair of fleshy ventral prolegs with tiny apical hooks; if spiracles are present and only a single lobe is at the end of the body, then the abdominal segments lack prolegs but instead have transverse ventral creeping welts.",0,0
174,53,,Shore Flies,,Ephydridae,larva,Larva,,"The head is not evident, but is reduced to some sclerotized rods inside the thorax; there are no segmented legs; the end of the abdomen is somewhat tapered and usually ends in a long retractile respiratory tube that lacks tubercles.",0,0
175,53,,Limoniid Crane Flies,,Limoniidae,larva,Larva,"Limoniidae, previously a subfamily of Tipulidae (Limoniinae), are now considered their own family. Both Limoniidae and Tipulidae are part of the larger group of crane flies, Tipulomorpha. Often these are relatively large, grey or white, soft-bodied, legless <u>larvae</u>. The head is inconspicuous, mostly retracted into the thorax and almost completely hidden from view. They are often sold in bait shops, or used as models for tied flies, especially for bass fishing. Usually, <u>larvae</u> are found <u>burrowing</u> in soft sediment of streams, often near algae or woody debris; but some <u>larvae</u> are terrestrial. They vary in feeding strategy, some are predators while others are <u>shredding detritivores</u> and <u>herbivores</u>. Most species have only 1 generation per year. Pupa usually are found in marginal habitats. Adults resemble giant mosquitoes, with long, delicate legs; however, they do not bite.","Mandibles moving against one another along an horizontal or oblique plane. <strong>Hardened head capsule always deeply retracted inside thorax</strong>; often with length-wise incisions of varying depths beginning at posterior margin of head, and extending forward; in extreme cases head consisting of only several slender rods (visible only via disection of thorax). <u>Spiracles</u> absent (apneustic) or with 1 pair at posterior end of body (<u>meta</u>pneustic); <strong>posterior <u>spiracles</u> rimmed by 2–7 (usually 5) lobes</strong> often fringed with hair. Mature <u>larvae</u> usually 10–25 mm long. ",0,0
178,53,,House Flies,,Muscidae,larva,Larva,"The head is not evident, but is reduced to some sclerotized rods inside the thorax; there are no segmented legs; the posterior end of the abdomen is blunt and smooth, without lobes, spines, or ridges.","head is not evident, but is reduced to some sclerotized rods inside the thorax; there are no segmented legs; the posterior end of the abdomen is blunt and smooth, without lobes, spines, or ridges.",0,0
180,53,,Hairy-eyed Crane Flies,,Pediciidae,larva,Larva,"The head is not evident, but is retracted inside the thorax; there are no segmented legs; abdominal segments have paired fleshy prolegs on five segments or roughened creeping welts on 4 segments; the posterior end of the abdomen has a pair of long slender lobes and sometimes with retractile anal gills below them.","The head is not evident, but is retracted inside the thorax; there are no segmented legs; abdominal segments have paired fleshy prolegs on five segments or roughened creeping welts on 4 segments; the posterior end of the abdomen has a pair of long slender lobes and sometimes with retractile anal gills below them.",0,0
182,53,,Moth Flies,,Psychodidae,larva,Larva,"The head is distinct and conspicuous; there are no segmented legs; body segments are subdivided into 2 or 3 subdivisions, most of which have hard, dark, transverse plates; the end of the abdomen usually has a relatively short, conical respiratory tube.","The head is distinct and conspicuous; there are no segmented legs; body segments are subdivided into 2 or 3 subdivisions, most of which have hard, dark, transverse plates; the end of the abdomen usually has a relatively short, conical respiratory tube.",0,0
184,53,,Phantom Crane Flies,,Ptychopteridae,larva,Larva,"The head is distinct and conspicuous; there are no segmented legs; the body has many transverse ridges or rows of small setae; the first 3 abdominal segments each has a pair of small fleshy prolegs, each with a single, slender, curved claw.","The head is distinct and conspicuous; there are no segmented legs; the body has many transverse ridges or rows of small setae; the first 3 abdominal segments each has a pair of small fleshy prolegs, each with a single, slender, curved claw.",0,0
186,53,,Black Flies,,Simuliidae,larva,Larva,"There are over 255 North American species in this family. The genera <em>Simulium </em>and <em>Prosimulium </em>include most of these. <u>Larvae</u> spin a pad of silk and glue it it to the substrate, then use hooks on the posterior end to grasp the silk pad and suspend themselves in the current, where they feed. If a <u>larva</u> is disturbed by a predator it uses a strand of silk from their mouth that is tethered to the substrate to climb back to their rock once the predator has left. They use comb-like fanning structures on their head to filter food from the water. Generally, this group is considered tolerant to pollution, however, they can be found only in clean water as well, depending on the species. Adult black flies are terrestrial, and the females are biting pests. The bites can cause allergic reactions in some people, and in cases where the numbers are high can cause blood loss and become dangerous for some mammal species. In the tropics, flies in this family can transmit diseases such as river blindness. Fly fishermen often refer to members of this group as smuts, and sometimes use <u>larvae</u> or pupae in their fly patterns.","Mandibles move against each other along a horizontal or oblique plane. <strong>Head complete, fully exposed</strong>, distinct from thorax, and usually without lengthwise incisions.<strong> Head capsule usually with pair of conspicuous fans</strong>. <u>Pro</u>thorax with single <u>proleg</u> <u>ventrally</u>. <u>Thoracic</u> segments usually individually distinguishable. <strong>Posterior abdominal segments 5–8 swollen,</strong> <strong>with ballooned or bowling-pin appearance</strong>. Last abdominal segment ringed with several radiating rows of small hooks. Mature <u>larvae</u> usually 3–8 mm long, or greater.",0,0
189,53,,Soldier Flies,,Stratiomyidae,larva,Larva,Most of the head is conspicuous but nearly incapable of movement; it has distinctive lateral eye prominences; there are no segmented legs; the body is somewhat depressed and its integument is tough and leathery from calcium deposits.,Most of the head is conspicuous but nearly incapable of movement; it has distinctive lateral eye prominences; there are no segmented legs; the body is somewhat depressed and its integument is tough and leathery from calcium deposits.,0,0
