273,92,Only Metanotum Membranous,"Pro- and mesonota are sclerotized, but the metanotum mostly membranous, with some small sclerites (i.e. the dorsal sides of the 1st two thoracic segments are hardened, but the 3rd is membranous)."
274,7,5-Segmented Swimming Legs,"Long, slender swimming legs 5-segmented, excluding 2 claws. "
275,7,8-Segmented Abdomen,Abdomen with 8 segments.
276,7,Sickle-Shaped Mandibles,Sickle-shaped mandibles without mola (grinding surface). 
277,8,"Brown, Sclerotized, Spindle-Shaped Body","Body strongly sclerotized (hardened), dark brown or red-brown, roughly cylindrical or spindle-shaped,"
278,8,Operculum,Segment 9 (posterior-most segment) with ventral lid-like flap (operculum) concealing thread-like gills and pair of hooks
279,9,4 Posterior Hooks,Abdominal segment 10 (posterior-most segment) with 4 stout hooks.
280,9,5-Segmented Legs + Claws,Legs 5-segmented plus 2 tarsal claws. 
281,9,Lateral Gills ,Abdominal segments 1–9 with lateral gills. 
282,10,5-Segmented Legs + Claw,Legs 5-segmented and each with single claw. 
283,10,Dorsal Projections,"Mature larvae usually with long, slender, stiff, needle-like dorsal projections from thoracic and abdominal segments"
284,12,Flat Body,"The body is dorsoventrally flattened (flat like a hamburger, not like a taco). "
285,12,Shield-Like,The thoracic and abdominal tergites (dorsal hardened segmental plates) are expanded laterally as a thin shield covering the head and legs from above. This can make the animals resemble trilobites. This shape also helps them stick to rocks almost like a suction cup. 
286,13,3 or Less Antennal Segments,Antennae with 3 or fewer segments.
287,13,4-Segmented Legs,Legs each with 4 segments.
288,13,9-Segmented Abdomen,Abdomen with 9 segments.
289,13,Distinct Labrum,Distinct labrum present.
290,13,Operculum lacking,Lacking operculum on last segment. 
291,13,Posterior Gill Tufts,Anal region with tufts of gills.
